date,BTC,ETH,XRP,USDT,LINK,BCH,LTC,ADA,XLM,DOT,BNB,BSV,USDC,EOS,TRX,WBTC,XMR,XTZ,XEM,CRO,LEO,FIL,NEO,ATOM,DAI,VET,DASH,MIOTA,HT,REV,UNI,ZEC,ETC,AAVE,YFI,WAVES,BUSD,THETA,CEL,MKR,OMG,SNX,ONT,COMP,UMA,DOGE,FTT,KSM,ALGO,BAT
10/26/2020,13075.2477,393.8883131,0.24868771,1.0009582,11.74790244,259.7825793,56.74577824,0.10309702,0.08090656,4.72701624,31.1545605,173.8072172,1.00017605,2.62851339,0.02676151,13054.63449,132.0217961,2.09672953,0.09943412,0.09615273,1.26871805,33.7226121,17.1057534,5.15221952,1.00654408,0.01140655,69.36599235,0.2740293,4.41791226,0.01059062,2.72590258,60.52228308,5.45054697,36.03392191,13670.6008,3.17780355,1,0.65489534,1.27706921,568.646047,3.24483769,3.55943569,0.51721208,100.4920311,7.67096089,0.00267853,3.93187573,35.29060562,0.29146025,0.21319768
10/25/2020,13031.17431,406.2177613,0.25321315,1.00072093,12.16005893,271.0794371,58.67479959,0.10635066,0.08314275,4.33523061,30.10754117,180.9338855,1.00019472,2.69436689,0.02693528,13030.1796,130.7993098,2.16755459,0.10553837,0.09665925,1.25140108,38.49485581,17.87725882,5.29901023,0.9968779,0.01178533,71.2086734,0.2778596,4.43333475,0.01059699,2.77574688,62.81462367,5.54808212,37.90476078,14298.61828,3.28185131,1,0.69570168,1.33980293,579.5135131,3.34874755,3.65986006,0.53696111,101.2556252,7.84016806,0.00265314,3.88592158,26.73320039,0.30318762,0.21234522
10/24/2020,13108.06261,412.4576188,0.25643078,1.00090892,12.73154846,275.1220015,59.0955865,0.10807512,0.08543687,4.35534397,30.58882127,175.4957161,0.99992771,2.65023951,0.02705049,13106.40553,128.9957015,2.21889815,0.10601214,0.10179292,1.24838854,25.73779261,18.32772957,5.55565402,0.99953191,0.01228765,73.39153249,0.28761889,4.50418734,0.01058416,2.943257,63.86808959,5.52556291,39.45502214,14904.33121,3.43632127,1,0.72229726,1.30365324,594.3045463,3.4898964,3.78318192,0.54806812,105.2856014,8.22551832,0.0026455,3.94250238,27.10388997,0.30737657,0.22111335
10/23/2020,12931.53902,409.7666916,0.25487888,1.00065675,12.16379485,270.3146648,55.23868781,0.10808285,0.08379547,4.2668497,30.63396067,166.2621968,1.0003127,2.64248321,0.02669117,12914.28104,127.2960213,2.22011331,0.10757687,0.10076519,1.24910721,24.49743276,18.12426586,5.36967054,1.00854629,0.01222949,72.17981074,0.27579823,4.49590581,0.01062003,3.01219005,63.0011039,5.48252204,41.68663736,14839.69139,3.36495063,1.0001,0.64817536,1.31396111,587.5471627,3.51964839,3.81799342,0.54218763,103.4673385,8.00279594,0.0026469,3.88593353,28.024561,0.30869066,0.21989821
10/22/2020,12965.89129,413.7729927,0.25680737,1.00109146,11.93933492,266.4726181,54.26727705,0.11057174,0.08528012,4.26894964,30.6581907,168.7792294,0.99999266,2.67513903,0.02704168,12941.39851,127.0677475,2.18736607,0.10888241,0.09612478,1.25004612,23.77047634,18.62576237,5.42904648,1.0082139,0.01213401,74.71100771,0.28221205,4.55517835,0.01058774,3.03945049,65.37360382,5.62027193,38.03165056,13695.42792,3.2282987,0.9998,0.65364752,1.30791468,586.8108482,3.48181183,3.88593074,0.55301689,101.2618441,8.19434925,0.00265502,3.88622695,28.22589306,0.31531735,0.22141333
10/21/2020,12823.68919,392.189967,0.25161491,1.00183442,10.80460729,258.5145772,53.04532907,0.1061869,0.08377958,4.14111972,29.77235434,164.8001262,0.99995623,2.62288178,0.02672063,12861.88674,121.752708,2.13308298,0.10488674,0.10149483,1.23606419,26.82373011,18.3906182,5.25557498,1.00807487,0.01135978,74.97782326,0.28200325,4.45551868,0.01062278,2.94137384,61.17502877,5.36910281,35.16035652,13327.54955,3.11269883,1,0.64057934,1.1901194,563.4919041,3.27730095,3.52598438,0.54900478,95.68866687,8.16658134,0.00263032,3.75509516,27.97127965,0.3015539,0.21487309
10/20/2020,11916.33514,369.1369149,0.24357286,1.00098522,9.87859282,242.8455476,47.05102987,0.10249371,0.08090614,3.91034337,28.80344291,157.5920819,1.00043948,2.53881229,0.02601167,11919.9443,117.945436,2.05528892,0.10966146,0.10591452,1.2167225,31.05136556,16.98351593,5.04346325,1.00816147,0.01081237,71.03839607,0.26451442,4.35928273,0.01048206,2.86980023,57.74379594,5.09724557,32.18001748,13121.66524,2.87261047,1.0004,0.59917733,1.17650533,545.1946099,3.14571491,3.72179817,0.51837796,95.09293904,8.12666702,0.00260093,3.5757037,27.90167791,0.28730344,0.20868765
10/19/2020,11742.03715,379.9356093,0.24596448,1.00085311,10.88628304,250.7097934,48.09891537,0.10867712,0.08524855,3.99059237,29.92506724,159.9801662,1.00063807,2.59016615,0.02586055,11735.53437,125.4041729,2.23372614,0.11239185,0.11040357,1.21503276,33.88293787,17.56537602,5.50677288,1.01186295,0.01141918,74.75453449,0.27710361,4.3862737,0.01047284,3.17766422,66.74227891,5.221812,36.01231739,13848.73505,2.94114979,1.0001,0.63275322,1.21831934,566.7762142,3.3505838,3.73623139,0.57520318,103.8585734,8.53282748,0.00258976,3.61790722,28.9942227,0.30285804,0.2142892
10/18/2020,11483.35971,378.213698,0.24222456,1.00078389,10.88071251,249.8121627,47.61954565,0.10738818,0.07955065,4.1046509,30.65952324,160.3728452,1.00043109,2.55632784,0.02593621,11486.03649,123.6260072,2.30266161,0.11360216,0.12110863,1.20258765,32.44102862,17.41176456,5.76381737,1.00668896,0.01163239,67.17025337,0.27299865,4.41974913,0.01050492,3.26685888,66.42271876,5.22273537,40.74697166,15338.56696,3.07042409,1.0001,0.67118275,1.22876552,568.3964848,3.40632052,3.9629747,0.56864767,105.1957361,9.1498075,0.00258649,3.60530845,31.00039314,0.31625787,0.21393672
10/17/2020,11358.10157,368.8559404,0.2409306,1.00069666,10.6525236,246.3199375,47.05392769,0.10610355,0.08191619,3.96725217,30.2482347,159.3944209,1.0004439,2.53501173,0.02574631,11360.85549,120.0381594,2.26220986,0.11380673,0.13365919,1.19248773,41.97832856,17.24479441,5.46519166,1.00751743,0.01099892,67.19629121,0.27001818,4.33209455,0.01046378,3.0006826,62.93846948,5.19017983,41.36699325,14114.73536,3.19011097,1.0001,0.62676745,1.25844678,551.9950199,3.26209445,3.97031059,0.57192572,103.5808565,7.45958172,0.00258111,3.55632462,29.35195157,0.31250917,0.21477333
