,V1,date,ccy,weight,ret,close,agg_rate,place,agg_volume,mom1,mom2,vol1,vol2,rsibd,kdbd,Comp_Mom,Comp_Vol,Comp,mom1_cor,mom2_cor,vol1_cor,vol2_cor,agg_volume_cor,rsibd_cor,kdbd_cor,Basket,aret
482,482,1/7/2018,LTC,0.03030303,-0.189398018,288.45,0,7,0.444444444,0.333333333,0.222222222,0.444444444,0.333333333,1,0.470588235,0.277777778,0.388888889,-0.150311594,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,2,-0.189398018
483,483,1/7/2018,TRX,0.03030303,-0.856507621,0.199655,0,8,0.555555556,1,1,1,1,1,0.470588235,1,1,-0.774953288,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,1,-0.856507621
484,484,1/7/2018,XEM,0.03030303,-0.08121344,6.41,0,6,0.222222222,0.888888889,0.666666667,0.888888889,0.888888889,1,0.470588235,0.777777778,0.888888889,-0.618189056,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,1,-0.08121344
485,485,1/7/2018,XLM,0.03030303,-0.167029085,1.08,0,9,0.111111111,0.444444444,0.555555556,0.666666667,0.555555556,1,0.470588235,0.5,0.611111111,-0.36691604,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,2,-0.167029085
486,486,1/7/2018,XRP,0.03030303,-0.597299222,3.38,0,2,0.777777778,0.666666667,0.888888889,0.555555556,0.777777778,0.214285714,0.470588235,0.777777778,0.666666667,-0.575846841,-0.155239686,-0.239025493,-0.214212849,-0.324349072,-0.086612481,0.059158636,0.209769749,1,-0.597299222
487,487,1/14/2018,ADA,0.03030303,-0.268804432,0.802262,0,5,0.444444444,0.222222222,0.777777778,0.888888889,0.888888889,0.5,1,0.5,0.888888889,-0.772660129,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,1,-0.268804432
488,488,1/14/2018,BCH,0.03030303,-0.362670533,2553.32,0,4,0.666666667,0.666666667,0.333333333,0.777777778,0.555555556,0.5,1,0.5,0.666666667,-0.566037677,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,2,-0.362670533
489,489,1/14/2018,BTC,0.03030303,-0.171623827,13772,0,1,1,0.444444444,0.222222222,0.111111111,0.111111111,0.5,0.307692308,0.333333333,0.111111111,-0.202606161,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,3,-0.171623827
490,490,1/14/2018,ETH,0.03030303,-0.264060208,1366.77,0,2,0.888888889,1,0.888888889,0.333333333,0.222222222,1,1,0.944444444,0.277777778,-0.602028825,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,2,-0.264060208
491,491,1/14/2018,LTC,0.03030303,-0.225891584,238.68,0,6,0.555555556,0.333333333,0.444444444,0.222222222,0.444444444,0.5,1,0.388888889,0.333333333,-0.312186199,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,3,-0.225891584
492,492,1/14/2018,NEO,0.03030303,-0.300238291,3.74,0,9,0.333333333,0.777777778,0.555555556,0.444444444,0.333333333,0.5,1,0.666666667,0.388888889,-0.519164564,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,2,-0.300238291
493,493,1/14/2018,XEM,0.03030303,-0.187410626,5.91,0,7,0.111111111,0.888888889,1,1,1,0.5,1,0.944444444,1,-1.147564864,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,1,-0.187410626
494,494,1/14/2018,XLM,0.03030303,-0.384027144,0.913869,0,8,0.222222222,0.555555556,0.666666667,0.555555556,0.666666667,0.5,0.307692308,0.611111111,0.611111111,-0.758459836,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,1,-0.384027144
495,495,1/14/2018,XRP,0.03030303,-0.298492989,1.86,0,3,0.777777778,0.111111111,0.111111111,0.666666667,0.777777778,0.5,0.307692308,0.111111111,0.722222222,-0.455450311,-0.311186556,-0.427051826,-0.281308957,-0.371610676,-0.240831872,0.112184581,0.152924576,3,-0.298492989
